@@,itemlabel,item,startdate,enddate
+++,Ismael Tocornal Tocornal,Q5922698,1925,1929
+++,Emiliano Figueroa Larraín,Q887497,1929,1931
+++,Francisco Garcés Gana,Q18285981,1931,1932
+++,Armando Jaramillo Valderrama,Q5704528,1932,1933
+++,Guillermo Subercaseaux Pérez,Q6100062,1933,1939
+++,Marcial Mora Miranda,Q6757160,1939,1940
+++,Enrique Oyarzún Mondaca,Q5833678,1940,1946
+++,Manuel Trucco Franzani,Q320396,1946,1951
+++,Arturo Maschke Tornero,Q5707356,1953,1959
+++,Eduardo Figueroa Geisse,Q5819221,1959,1961
+++,Luis Mackenna Shiell,Q5983835,1962,1964
+++,Sergio Molina Silva,Q5556165,1964,1967
+++,Carlos Massad Abud,Q5750927,1967,1970
+++,Alfonso Inostroza Cuevas,,1970,1973
+++,Eduardo Cano Quijada,,1973,1975
+++,Carlos Matus Romo,Q2939398,1973-06,1973-09-11
+++,Pablo Baraona Urzúa,Q41421135,1975,1976
+++,Álvaro Bardón Muñoz,Q9098177,1977,1981
+++,Sergio de la Cuadra Fabres,Q6125689,1981,1982
+++,Miguel Kast Rist,Q3890688,1982-04-23,1982-09-02
+++,Carlos Cáceres Contreras,Q5750112,1982-09-03,1983-02-13
+++,Hernán Felipe Errázuriz Correa,Q5837490,1983-02-14,1984-05-02
+++,Francisco Ibáñez Barceló,Q22992270,1984-05-12,1985-01-06
+++,Enrique Seguel Morel,Q5833797,1985-01-07,1989-04-03
+++,Manuel Concha Martínez,Q110103555,1989-04,1989-12-09
+++,Andrés Bianchi Larre,Q5675597,1989-12-09,1991-12-07
+++,Roberto Zahler Mayanz,Q6110061,1991-12-09,1996-06-27
+++,Carlos Massad Abud,Q5750927,1996-09-16,2003-05-01
+++,Vittorio Corbo Lioi,Q9094553,2003-05-01,2007-12-06
+++,José De Gregorio Rebeco,Q9014921,2007-12-07,2011-12-07
+++,Rodrigo Vergara Montes,Q3380860,2011-12-10,2016-12-10
+++,Mario Marcel Cullell,Q5998841,2016-12-11,2022-01-27
->,Rosanna Costa->Rossana Costa,Q6112329,2022-02-03,
